商品ID,标题,价格,参数信息,评论数,好评度,热点评论词
56506871971,【超级爆款】荣耀10青春版华为手机 渐变蓝 全网通4GB+64GB,845,"华为（HUAWEI）荣耀10青春版,56506871971,0.6kg,其他,4GB,其它存储,其它存储卡,其他,1300万像素,2400万像素,6.21英寸,其它分辨率,其它屏幕比例,其他,3400mAh,其他,混合色,Android(安卓)",700,96,"开机迅速,完美运行,操作简便,拍照一流,超级省电,内存充足,"
37314500684,荣耀10青春版华为手机 幻夜黑 （4G+64G）,846,"荣耀10青春版华为手机 幻夜黑 （4G+64G）,37314500684,500.00g,其它内存,其它存储,其它存储卡,1300万像素,2400万像素,其他,3400mAh（典型值）,5V/2A,其他",2200,98,"功能强大,流畅至极,完美运行,清晰度高,轻薄适中,音质上乘,握感舒适,"
39213484962,华为（HUAWEI）华为畅享9全网通智能手机 极光蓝(4G+64G),848,"华为（HUAWEI）华为畅享9,39213484962,380.00g,4GB,其它存储,支持MicroSD(TF),1300万像素,800万像素,其他,4000mAh（典型值）,5V/2A,蓝色,人脸识别",2900,97,"颜色绚丽,完美运行,待机给力,"
53921039284,荣耀play3华为手机全面屏学生老人手机 极光蓝 4+64G全网通,849,"荣耀play3华为手机全面屏学生老人手机 极光蓝 4+64G全网通,53921039284,1.0kg,其他,其它内存,128GB,支持MicroSD(TF),其他,其他,其他,其他英寸,其它分辨率,其它屏幕比例,其他,4000mAh（典型值） 3900mAh（最小值）,5V/2A,其他,Android(安卓)",17000,97,"完美运行,清晰度高,待机给力,颜色绚丽,功能齐全,色彩饱满,拍照一流,操作简便,音质上乘,配置超棒,"
56177164560,荣耀Play3 手机 极光蓝 全网通(4G+64G),849,"华为（HUAWEI）荣耀Play3,56177164560,200.00g,4GB,128GB,支持MicroSD(TF),4800万像素,800万像素,景深，后置三摄,魅眼屏,4000mAh（典型值） 3900mAh（最小值）,5V/2A,蓝色,人脸识别，超高屏占比,≥95%,VOLTE 4G通话，移动4G+,游戏勿扰模式,智能机(老龄模式)",3600,96,"完美运行,手感一流,清晰度高,使用率高,待机给力,声音清晰,音质上乘,内存充足,"
25869912335,华为（HUAWEI） 畅享7S 全网通版移动联通电信4G 双卡双待老人老年全面屏智能 黑色 (4G RAM+64G ROM),849,"华为（HUAWEI）畅享7S,25869912335,320.00g,4GB,32GB,支持MicroSD(TF),1300万像素,800万像素,老式屏幕(16:9),3000mAh(典型值）,5V/1A,黑色",300,97,"完美运行,纤薄轻便,"
52558333374,华为（HUAWEI）荣耀7X 畅玩7X 全面屏智能手机 极光蓝 全网通4G(4GB+64GB),849,"华为（HUAWEI）荣耀7X 畅玩7X 全面屏智能手机 极光蓝 全网通4G(4GB+64GB),52558333374,0.6kg,4GB,64GB,支持MicroSD(TF),1600万像素,800万像素,其他,3340mAh,5V/2A,蓝色",300,95,nan
57050655206,华为荣耀play3 手机i【下单立减+8重豪礼】 魅焰红 全网通4G+64GB,849,"华为（HUAWEI）荣耀play3,57050655206,300.00g,4GB,其它存储,支持MicroSD(TF),4800万像素,800万像素,景深，后置三摄,其他,4000mAh（典型值） 3900mAh（最小值）,5V/2A,红色,智能机(老龄模式)",100,98,"待机给力,"
47698701782,华为 HUAWEI 畅享 9e 实力大音量高像素珍珠屏 全网通版双4G华为手机 宝石蓝色 3G+64G,849,"华为 HUAWEI 畅享 9e 实力大音量高像素珍珠屏 全网通版双4G华为手机 宝石蓝色 3G+64G,47698701782,320.00g,其它存储,支持MicroSD(TF),1300万像素,800万像素,其他,3020mAh（典型值）,5V/1A,蓝色",20,100,nan
35658500535,华为（HUAWEI） 畅享8e 移动联通电信全网通4G 全面屏 智能手机 双卡双待 蓝色 全网通（3GB+32GB ）,855,"华为（HUAWEI）畅享8e,35658500535,140.00g,中国大陆,其它存储,支持MicroSD(TF),其他,其他,其他,3000,5V/1A,黑色",50,95,nan
41391203791,荣耀10青春版华为手机 全网通4G 幻夜黑 4G+64G,858,"荣耀10青春版华为手机  全网通4G 幻夜黑 4G+64G,41391203791,200.00g,其它内存,64GB,其它存储卡,1300万像素,2400万像素,其他,3400mAh（典型值）,5V/2A,其他",500,94,"简单好看,轻巧方便,内存充足,"
29624815917,华为（HUAWEI） 畅享8 Plus 全面屏双卡手机 金色 全网通4G(4GB+64GB),858,"华为（HUAWEI）畅享8 PLUS,29624815917,345.00g,中国大陆,64GB,支持MicroSD(TF),1300万像素,1600万像素,其他,4000（典型值）,5V/2A,金色,人脸识别",100,93,nan
40492063738,HUAWEI 华为畅享9 华为手机 【10天价保+plus享好礼】 极光蓝 4GB+64GB,858,"HUAWEI 华为畅享9 华为手机 【10天价保+plus享好礼】 极光蓝 4GB+64GB,40492063738,380.00g,4GB,32GB,其它存储卡,1300万像素,800万像素,水滴屏,4000mAh(典型值),5V/2A,黑色",5800,97,"毫无卡顿,清晰度高,持久耐用,颜色绚丽,内存充足,声音清晰,优质耐用,手感一流,做工精湛,像素一流,"
56604166853,华为（HUAWEI）荣耀 畅玩8C 手机 全网通4G手机 双卡双待 极光蓝 全网通 4GB+64GB,858,"华为（HUAWEI）荣耀 畅玩8C 手机 全网通4G手机 双卡双待 极光蓝 全网通 4GB+64GB,56604166853,200.00g,4GB,其它存储,其它存储卡,其他,其他,其他,4000mAh(典型值) 3900mAh(小值),其他,蓝色,其他",30,100,nan
37348371908,华为（HUAWEI） 荣耀10青春版 原装正品 手机 幻夜黑 4+64G 全网通,859,"华为（HUAWEI） 荣耀10青春版   原装正品 手机 幻夜黑 4+64G 全网通,37348371908,1.0kg,其他,其它内存,64GB,其它存储卡,其他,其他,其他,其他英寸,其它分辨率,其它屏幕比例,其他,3400mAh（典型值）,其他,其他,Android(安卓)",9800,97,"完美运行,清晰度高,待机给力,功能俱全,功能够用,声音洪亮,小巧精致,悦耳动听,轻薄适中,内存充足,"
62575553277,华为（HUAWEI） 荣耀畅玩6X 全网通移动联通电信4G版双卡双待八核5.5英寸大屏 智能 铂光金 全网通（4GB+64GB）尊享版,859,"华为（HUAWEI）畅玩6X,62575553277,500.00g,其它内存,32GB,支持MicroSD(TF),1200万像素,800万像素,其他,3340,5V/2A,其他,其他",1500,96,nan
37281035313,【4+64G蓝色黑色春节正常发货】荣耀10青春版手机 渐变蓝 4G+64G全网通,859.8,"华为（HUAWEI）荣耀10青春版,37281035313,1.0kg,其他,4GB,其它存储,其它存储卡,后置双摄,1300万像素,2400万像素,6.21英寸,其它分辨率,其它屏幕比例,其他,3400mAh（典型值）,5V/2A,蓝色,Android(安卓),其他",3900,98,"完美运行,清晰度高,漂亮大方,颜色绚丽,待机给力,功能齐全,握感舒适,声音洪亮,像素一流,内存充足,"
39911563295,华为（HUAWEI）畅享9 手机 【10天价保】全网通4G 畅享9 极光蓝4GB+64GB 移动4G+全网通,868,"华为（HUAWEI）畅享9,39911563295,400.00g,其它存储,其它存储卡,1300万像素,800万像素,其他,4000（典型值）,5V/2A,其他,快速充电,其他",800,99,nan
34138944006,荣耀畅玩8c手机 幻夜黑 4G+64G全网通,869.8,"荣耀畅玩8c手机 幻夜黑 4G+64G全网通,34138944006,200.00g,4GB,其它存储,支持MicroSD(TF),1300万像素,800万像素,其他,4000mAh（典型值） 3900mAh（最小值）,5V/2A,黑色,其他",1500,98,"完美运行,清晰度高,"
62992474689,荣耀play3手机【荣耀直供赠多重好礼】 幻夜黑 全网通4G+64G,878,"荣耀play3手机【荣耀直供赠多重好礼】 幻夜黑 全网通4G+64G,62992474689,500.00g,其他,其它内存,64GB,支持MicroSD(TF),其他,4800万像素,800万像素,其他英寸,其它分辨率,其它屏幕比例,其他,4000mAh（典型值）,5V/2A,其他,Android(安卓)",100,100,nan
54357522409,华为（HUAWEI）荣耀10青春版 全网通4G 全面屏智能游戏老人老年学生备用手机 渐变蓝 (4G RAM+64G ROM),878,"华为（HUAWEI）荣耀10青春版 全网通4G 全面屏智能游戏老人老年学生备用手机 渐变蓝 (4G RAM+64G ROM),54357522409,400.00g,4GB,64GB,其它存储卡,1300万像素,2400万像素,其他,3400,5V/2A,黑色,VOLTE 4G通话",100,96,nan
56677855095,华为（HUAWEI） 畅享9 全网通4G智能手机 双4G 学生手机 极光紫 全网通（4G+64G）,888,"华为（HUAWEI） 畅享9 全网通4G智能手机 双4G 学生手机 极光紫 全网通（4G+64G）,56677855095,380.00g,4GB,其它存储,支持MicroSD(TF),1300万像素,800万像素,水滴屏,4000mAh（典型值）,5V/2A,其他",2000,97,nan
34770635758,华为（HUAWEI） 麦芒 6 全网通 4GB+64GB版 移动联通电信4G手机 双卡双待 麦芒新款 麦芒6 极光蓝（4G+64G）,898,"华为（HUAWEI） 麦芒 6 全网通 4GB+64GB版 移动联通电信4G手机 双卡双待 麦芒新款 麦芒6 极光蓝（4G+64G）,34770635758,500.00g,4GB,64GB,支持MicroSD(TF),1600万像素,1300万像素,其他,3340,5V/2A,蓝色,其他",100,95,"完美运行,待机给力,"
39035748936,华为（HUAWEI） 麦芒5 全网通 4GB+64GB版 移动联通电信4G手机 双卡双待 麦芒6 麦芒6 极光蓝 4+64G,898,"华为（HUAWEI） 麦芒5 全网通 4GB+64GB版  移动联通电信4G手机 双卡双待 麦芒6 麦芒6 极光蓝 4+64G,39035748936,500.0kg,4GB,64GB,支持MicroSD(TF),1600万像素,800万像素,其他,3340mAh,其他,蓝色,其他",500,98,nan
47139286519,华为（HUAWEI） 麦芒7 全网通 移动联通电信4G手机 双卡双待 新品麦芒8 麦芒6极光蓝（4+64G）,898,"华为（HUAWEI） 麦芒7  全网通 移动联通电信4G手机 双卡双待 新品麦芒8 麦芒6极光蓝（4+64G）,47139286519,500.00g,4GB,64GB,支持MicroSD(TF),2000万像素,2400万像素,其他,3750mAh,其他,蓝色,其他",50,90,nan
1.00E+11,荣耀Play3 6.39英寸魅眼全视屏 4000mAh大电池 真4800万AI三摄 麒麟710F自研芯片 畅玩全网通4GB+64GB 极光蓝,899,"华为荣耀Play3,100008031684,365.00g,中国大陆,其他,4GB,64GB,支持MicroSD(TF),后置三摄,4800万像素,800万像素,景深，后置三摄，后置多摄,6.39英寸,高清HD+,其它屏幕比例,魅眼屏，极点屏,4000mAh（典型值） 3900mAh（最小值）,5V/2A,极光蓝,人脸识别，超高屏占比,其他,语音识别(文字语音互转),Android(安卓)",170000,98,"漂亮大方,清晰度高,流畅至极,待机给力,颜色绚丽,性能一流,声音洪亮,解锁迅速,拍摄功能强,内存充足,"
1.00E+11,荣耀10青春版 幻彩渐变 2400万AI自拍 全网通版4GB+64GB 幻夜黑 移动联通电信4G全面屏 双卡双待,899,"华为荣耀10青春版,100001467225,162.00g,中国大陆,其他,4GB,64GB,其它存储卡,后置双摄,1300万像素,2400万像素,后置双摄,6.21英寸,全高清FHD+,其它屏幕比例,水滴屏,3400mAh（典型值）,5V/2A,幻夜黑,超高屏占比,其他,语音识别(文字语音互转),Android(安卓)",1290000,98,"炫光设计,畅快游戏体验,使用舒适,屏幕清透细腻,清晰大屏,色彩饱满,性能一流,持久耐用,拍摄功能强,声音清晰,空间充足,"
56596153740,【自营仓发货 3期免息】华为畅享9 高清珍珠屏 4000毫安长续航 智能老人手机 全网通4GB+64GB 幻夜黑,899,"【自营仓发货 3期免息】华为畅享9 高清珍珠屏 4000毫安长续航 智能老人手机 全网通4GB+64GB 幻夜黑,56596153740,380.00g,其他,4GB,其它存储,支持MicroSD(TF),后置双摄,1300万像素,800万像素,6.26英寸,高清HD+,其它屏幕比例,水滴屏,4000mAh（典型值）,其他,黑色,快速充电，人脸识别,其他,Android(安卓)",3400,96,nan
32530904568,华为（HUAWEI）荣耀8X Max 全网通4G 7.12英寸全面屏智能手机 幻夜黑 骁龙636版本全网通（4G+64G）,899,"华为（HUAWEI）荣耀8XMAX,32530904568,470.00g,128GB,支持MicroSD(TF),其他,800万像素,水滴屏,5000mAh（典型值） 4900mAh（最小值）,9V/2A,黑色,快速充电，人脸识别,其他",300,98,"流畅至极,"
62301372505,华为畅享9手机【现货速发赠多重好礼】 幻夜黑 全网通4G+64G,899,"华为（HUAWEI）DUB-AL00/DUB-AL20,62301372505,500.00g,其他,4GB,64GB,其它存储卡,后置双摄,1300万像素,800万像素,6.26英寸,高清HD+,其它屏幕比例,其他,4000,5V/2A,黑色,Android(安卓)",100,92,"完美运行,"
57309562347,荣耀10青春【已降400】华为荣耀10青春版 手机【中华有为 反复待机唤醒20万次】下单送碎屏保 4G+64G幻夜黑【标配】,899,"荣耀10青春【已降400】华为荣耀10青春版 手机【中华有为 反复待机唤醒20万次】下单送碎屏保 4G+64G幻夜黑【标配】,57309562347,0.6kg,4GB,其它存储,其它存储卡,2400万像素,1300万像素,其他,3400,5V/2A,黑色",50,100,"声音洪亮,"
54814561667,华为荣耀8x 手机 幻夜黑 4GB+64GB,899,"华为荣耀8x 手机 幻夜黑 4GB+64GB,54814561667,200.00g,其它内存,其它存储,其它存储卡,2000万像素,1600万像素,其他,3750mAh,5V/2A,其他,≥90%",3500,99,nan
28270225778,华为（HUAWEI） 畅享7S 移动全网通4G 双卡双待 智能老人手机 蓝色 (4G RAM+64G ROM),899,"华为（HUAWEI）畅享7S,28270225778,300.00g,其他,其它存储,其它存储卡,其他,其他,其他,其他英寸,其它分辨率,其它屏幕比例,其他,3000mAh(典型值）,5V/1A,青色（蓝色）,人脸识别，快速充电,Android(安卓),移动4G+",1400,98,nan
32148612897,华为（HUAWEI）荣耀8X手机【现货发售】 魅海蓝 全网通（4G+64G）,899,"华为（HUAWEI）荣耀8X手机【现货发售】 魅海蓝 全网通（4G+64G）,32148612897,20.00g,64GB,支持MicroSD(TF),其他,其他,刘海屏,3750mAh（典型值） 3650mAh（额定值）,5V/2A,其他,快速充电,移动4G+",400,99,nan
45349465201,华为畅享9手机【10重豪礼】人脸识别全网通移动联通电信双卡双待 极光蓝 4G+64G,899,"华为（HUAWEI）畅享9,45349465201,300.00g,4GB,其它存储,其它存储卡,1300万像素,800万像素,其他,4000mAh（典型值）,5V/2A,蓝色,快速充电，人脸识别",30,100,nan
57152474548,华为（HUAWEI）荣耀Play3e 移动联通电信 全网通4G智能手机 幻夜黑 3GB+64GB,899,"华为（HUAWEI）荣耀Play3e 移动联通电信  全网通4G智能手机 幻夜黑 3GB+64GB,57152474548,0.78kg,3GB,64GB,支持MicroSD(TF),1300万像素,500万像素,其他,3020mAh（典型值） 2920mAh（最小值）,5V/1A,黑色",9,100,nan
40617354734,HUAWEI 华为畅享9 全面屏手机 移动联通电信全网通双卡双待4G手机 高清珍珠屏 AI长续航 幻夜黑 全网通(4G+64G),899,"华为（HUAWEI）华为畅享9,40617354734,350.00g,中国大陆,4GB,64GB,支持MicroSD(TF),1300万像素,800万像素,其他,4000mAh（典型值）,5V/2A,黑色,其他",90,97,"完美运行,"
32071713342,华为畅享8 NFC版全网通手机 黑色 4GB+64GB【无NFC】,899,"华为（HUAWEI）畅享8,32071713342,350.00g,其它存储,支持MicroSD(TF),1300万像素,800万像素,其他,3000mAh,5V/1A,其他,人脸识别,其他",200,96,nan
51951452111,华为畅享9e全网通4G智能手机 棕色 3+64G,899,"华为畅享9e全网通4G智能手机 棕色 3+64G,51951452111,300.00g,其他,3GB,其它存储,支持MicroSD(TF),后置单摄,1300万像素,800万像素,6.088英寸,高清HD+,其它屏幕比例,水滴屏,3020,其他,咖啡色,Android(安卓)",2,100,nan
50334240962,华为 荣耀10青春版全网通4G手机 黑色 4+64G,899,"华为 荣耀10青春版全网通4G手机 黑色 4+64G,50334240962,300.00g,其他,4GB,其它存储,支持MicroSD(TF),后置双摄,1300万像素,2400万像素,6.21英寸,全高清FHD+,其它屏幕比例,其他,3400,其他,其他,人脸识别,Android(安卓)",10,100,nan
54746700788,华为荣耀畅玩8C手机 两天一充 莱茵护眼 超清刘海屏 4GB大运存 双卡双待 幻影蓝 4G+64G全网通,899,"华为荣耀畅玩8C手机 两天一充 莱茵护眼 超清刘海屏 4GB大运存 双卡双待 幻影蓝 4G+64G全网通,54746700788,100.00g,4GB,其它存储,其它存储卡,1300万像素,200万像素,刘海屏,4000mAh（典型值） 3900mAh（最小值）,5V/2A,混合色,VOLTE 4G通话",20,100,nan
57205489039,华为（HUAWEI）荣耀畅玩8C 手机 星云紫 4G+32G,899,"华为（HUAWEI）荣耀畅玩8C 手机 星云紫 4G+32G,57205489039,1.0kg,其他,其它内存,其它存储,其它存储卡,后置单摄,其他,其他,6.26英寸,其它分辨率,其它屏幕比例,其他,4000mAh(典型值) 3900mAh(小值),其他,其他,Android(安卓),其他,其他",20,100,nan
32480846400,荣耀8x 10/20天均保价i华为手机 幻影黑 4+64G 全网通,908,"荣耀8x  10/20天均保价i华为手机 幻影黑 4+64G 全网通,32480846400,1.0kg,其它存储,其它存储卡,其他,其他,其他,3750mAh（典型值）,其他,黑色,其他",4100,99,"清晰度高,反应超快,内存充足,功能齐全,持久耐用,声音洪亮,拍照一流,做工精湛,手感一流,"
54800065480,华为荣耀8C手机 移动联通电信4G全面屏双卡双待 幻夜黑 4G+64G,909,"华为（HUAWEI）荣耀8C,54800065480,1.0kg,中国大陆,4GB,128GB,支持MicroSD(TF),1300万像素,800万像素,其他,4000mAh（典型值） 3900mAh（最小值）,5V/2A,黑色,VOLTE 4G通话",10,100,nan
40817506942,华为（HUAWEI） nova3e 全面屏2400万前置摄像 移动联通电信4G双卡双待手机 铂光金 公开全网通4G(4GB运存+64GB内存),928,"华为（HUAWEI）nova 3e,40817506942,1.0kg,64GB,支持MicroSD(TF),1600万像素,2400万像素,其他,3000mAh（典型值）,其他,金色",60,100,nan
64640195638,华为（HUAWEI） 荣耀畅玩6X 华为手机移动联通电信4G版双卡双待八核5.5英寸大屏 智能通 铂光金 (4GB+64GB)尊享版,928,"华为（HUAWEI） 荣耀畅玩6X 华为手机移动联通电信4G版双卡双待八核5.5英寸大屏 智能通 铂光金 (4GB+64GB)尊享版,64640195638,1.0kg,其他,4GB,32GB,支持MicroSD(TF),其他,1200万像素,800万像素,微距,5.5英寸,其它分辨率,其它屏幕比例,其他,3340,12V/2A；10V/2A；5V/1A；5V/8.8A；5V/1.5A；5V/2A；5V/3A；5V/4A；5V/4.5A；9V/2A,黑色,其他,其它OS",0,100,nan
46561818735,华为 畅享9s 移动4G+全网通【现货速发/正品新机/运费险】 全面屏智能手机 珊瑚红 4GB+128GB,936,"华为（HUAWEI）畅享9s,46561818735,400.00g,其他,其它存储,不支持存储卡,后置三摄,2400万像素,800万像素,6.21英寸,其它分辨率,其他,3400（典型值）,5V/2A,红色,Android(安卓)",40,100,"颜色绚丽,"
38362823515,华为荣耀8X手机 幻影蓝 全网通4G+64G,938,"华为（HUAWEI）荣耀8x,38362823515,0.6kg,4GB,其它存储,其它存储卡,其他,其他,其他,3750mAh（典型值） 3650mAh（额定值）,5V/2A,蓝色,移动4G+",17000,98,"颜色绚丽,"
55122913791,【超级爆款】华为畅享9S手机 2400万超广角三摄珍珠屏大存储 极光蓝 全网通4G+128G,938,"华为（HUAWEI）华为畅享 9S,55122913791,0.6kg,4GB,64GB,支持MicroSD(TF),1600万像素,800万像素,其他,3400（典型值）,5V/2A,蓝色",1600,97,"清晰度高,流畅至极,颜色绚丽,毫无卡顿,顺滑无比,内存充足,"
65144365623,华为（HUAWEI）华为畅享9 9s 手机 幻夜黑9S 4+128G全网通,938,"华为（HUAWEI）华为畅享9 9s 手机 幻夜黑9S 4+128G全网通,65144365623,500.00g,中国大陆,其他,4GB,其它存储,支持MicroSD(TF),其他,1300万像素,800万像素,后置双摄,其他英寸,其它分辨率,其它屏幕比例,水滴屏,4000mAh（典型值）,5V/2A,黑色,人脸识别,其它OS,移动4G+，VOLTE 4G通话,游戏勿扰模式，游戏性能模式",5600,98,nan
34551149858,华为畅享9S手机 极光蓝 全网通(4+128GB),938,"华为（HUAWEI）畅享9S,34551149858,500.00g,其他,4GB,64GB,其它存储卡,后置三摄,2400万像素,800万像素,6.21英寸,其它分辨率,其他,3400（典型值）,其他,蓝色,人脸识别,Android(安卓)",1000,98,"像素一流,流畅至极,小巧精致,"
43975601560,华为畅享9S 手机 幻夜黑 全网通(4G+128G),938,"华为（HUAWEI）畅享9S,43975601560,0.6kg,4GB,128GB,支持MicroSD(TF),2400万像素,800万像素,水滴屏,3400mAh（典型值）,5V/2A,黑色,人脸识别,VOLTE 4G通话",100,100,"流畅至极,容量十足,容量充足,散热性佳,颜色绚丽,拍照一流,解锁迅速,"
48521517667,华为畅享9S手机 移动全网通 幻夜黑 4GB+128GB,938,"华为（HUAWEI）畅享9s,48521517667,400.00g,4GB,128GB,其它存储卡,2400万像素,800万像素,其他,3400（典型值）,5V/2A,黑色",100,100,"颜色绚丽,反应超快,"
31868566477,荣耀8X 手机全面屏全网通 魅海蓝 4GB+64GB 标配版,939,"华为（HUAWEI）荣耀8X,31868566477,500.00g,其它存储,支持MicroSD(TF),2000万像素,1600万像素,其他,3750mAh（典型值）,5V/2A,蓝色",25000,98,"完美运行,清晰度高,颜色绚丽,内存充足,续航出色,新颖别致,手感一流,解锁迅速,像素一流,照片清晰,"
32475276897,荣耀8x 4G手机 幻夜黑 全网通 (4G+64G),948,"华为（HUAWEI）荣耀8X,32475276897,200.00g,中国大陆,4GB,128GB,支持MicroSD(TF),2000万像素,1600万像素,后置双摄,刘海屏,3750mAh（典型值）,5V/2A,黑色,人脸识别,其他,小于12 W",600,98,"完美运行,毫无卡顿,颜色绚丽,待机给力,操作简单,"
64577548017,华为畅享9s 新品手机6.21英寸珍珠屏，2400万广角三摄大存储 极光蓝 全网通(6+64G),948,"华为畅享9s 新品手机6.21英寸珍珠屏，2400万广角三摄大存储 极光蓝 全网通(6+64G),64577548017,500.00g,其他,其它内存,其它存储,其它存储卡,其他,其他,其他,其他英寸,其它分辨率,其它屏幕比例,其他,其他,其他,渐变色,Android(安卓)",6,0,nan
53831525225,华为荣耀10青春版渐变色珍珠全面屏HONOR双卡双待学生手机20官方 2400万AI自拍 渐变红 4GB 64GB,949,"华为荣耀10青春版渐变色珍珠全面屏HONOR双卡双待学生手机20官方 2400万AI自拍 渐变红 4GB 64GB,53831525225,200.00g,其它内存,64GB,支持MicroSD(TF),1300万像素,2400万像素,水滴屏,3400mAh,5V/2A,渐变色",60,93,nan
42379955379,华为（HUAWEI）【月供199元】荣耀10青春版 全网通游戏手机 白条分期免息 幻夜黑 4+64G,949,"华为（HUAWEI）【月供199元】荣耀10青春版  全网通游戏手机 白条分期免息 幻夜黑 4+64G,42379955379,200.00g,64GB,其它存储卡,1300万像素,2400万像素,水滴屏,3400mAh（典型值）,5V/2A,其他,快速充电",100,100,"完美运行,"
52317786580,华为（HUAWEI）荣耀8X 荣耀 畅玩 8X 双卡双待 全网通4G手机 梦幻紫 全网通 (4G+64G),949,"华为（HUAWEI）荣耀8X 荣耀 畅玩 8X 双卡双待 全网通4G手机 梦幻紫 全网通 (4G+64G),52317786580,200.00g,4GB,其它存储,其它存储卡,其他,其他,其他,3750mAh(典型值),其他,紫色,其他",30,100,nan
34823785289,华为荣耀8X 全网通移动联通电信4G 全面屏智能手机 幻夜黑 (4G RAM+64G ROM),958,"华为（HUAWEI）荣耀8X,34823785289,400.00g,其它存储,其它存储卡,2000万像素,1600万像素,其他,3750mAh（典型值）,5V/2A,其他,人脸识别，快速充电,其他",1400,98,"贴合度高,毫无卡顿,观感舒适,做工精湛,"
54529444231,华为（HUAWEI）荣耀畅玩7X 全网通4G全面屏手机 魅焰红 全网通4G(4GB+128GB),958,"华为（HUAWEI）荣耀畅玩7X,54529444231,165.00g,中国大陆,4GB,64GB,支持MicroSD(TF),1600万像素,800万像素,其他,3340mAh（典型容量）,5V/2A,红色,超高屏占比,其他",700,95,"完美运行,待机给力,"
54596914185,华为（HUAWEI） 荣耀7x 荣耀畅玩7X 全网通4G智能手机 双卡双待 幻夜黑 4G+128G,958,"华为（HUAWEI） 荣耀7x 荣耀畅玩7X 全网通4G智能手机 双卡双待 幻夜黑 4G+128G,54596914185,400.00g,4GB,256GB,其它存储卡,其他,其他,后置双摄,其他,3340mAh(典型值),其他,黑色,其他",100,94,nan
56685429502,华为畅享9s 手机 珊瑚红 全网通（4+128G）,959,"华为畅享9s 手机 珊瑚红 全网通（4+128G）,56685429502,500.00g,4GB,其它存储,其它存储卡,2400万像素,800万像素,其他,3400（典型值）,5V/2A,红色",9700,99,"流畅至极,颜色绚丽,清晰度高,像素一流,内存充足,"
51630192278,华为（HUAWEI）荣耀9青春版 全网通全面屏移动联通电信4G全面屏手机双卡双待 幻夜黑 全网通4+32GB,959,"华为（HUAWEI）荣耀9青春版 全网通全面屏移动联通电信4G全面屏手机双卡双待 幻夜黑 全网通4+32GB,51630192278,1.0kg,4GB,32GB,支持MicroSD(TF),1300万像素,1300万像素,景深,其他,3000mAh（典型值）,5V/2A,黑色,人脸识别",100,100,nan
36413990209,华为（HUAWEI）荣耀8C 畅玩8C手机 全面屏手机 星云紫 全网通（4GB+64GB）,959,"华为（HUAWEI）荣耀8C 畅玩8C手机 全面屏手机 星云紫 全网通（4GB+64GB）,36413990209,1.0kg,其他,64GB,支持MicroSD(TF),后置双摄,1300万像素,800万像素,6.26英寸,其它分辨率,18:9,老式屏幕(16:9),4000mAh,5V/2A,其他,Android(安卓),其他",30,100,nan
44551936853,华为畅享9S 移动全网通 手机（10天价保） 幻夜黑（秒杀版） 4GB+128GB,966,"华为（HUAWEI）华为畅享9s,44551936853,500.00g,4GB,其它存储,不支持存储卡,2400万像素,800万像素,其他,3400（典型值）,5V/2A,黑色",100,100,"流畅至极,"
45640155444,荣耀20i 华为手机 3200万AI自拍 超广角三摄 渐变蓝 全网通6G+64G,968,"华为（HUAWEI）华为荣耀20i,45640155444,0.6kg,其它存储,其它存储卡,2400万像素,3200万像素,水滴屏,3400mAh（典型值）,5V/2A,蓝色",5000,96,"流畅至极,颜色绚丽,照相清晰,像素一流,舒适性强,照片清晰,画质感人,解锁迅速,"
26884681707,华为（HUAWEI） 畅享8Plus智能手机 双卡双待 黑色 公开全网通 4GB运存+128GB内存,968,"华为（HUAWEI）畅享8 Plus,26884681707,1.0kg,64GB,支持MicroSD(TF),1300万像素,1600万像素,其他,4000mAh(典型值）,其他,其他",90,92,nan
46415740670,华为畅享9S 手机 珍珠屏大存储 6.26英寸全面屏 4000mAh大电量 幻夜黑 4GB+128GB,968,"华为（HUAWEI）畅享9S,46415740670,500.00g,其它存储,其它存储卡,2400万像素,800万像素,其他,3400mAh(典型值),其他,其他",4,100,nan
51887396815,华为畅享9s 全网通4G智能手机 珊瑚红 4G+128G,968,"华为畅享9s 全网通4G智能手机 珊瑚红 4G+128G,51887396815,480.00g,4GB,其它存储,其它存储卡,2400万像素,800万像素,其他,3400（典型值）,5V/2A,红色",40,80,nan
46840150170,华为（HUAWEI）nova2 Plus 手机 曜石黑 全网通(4GB RAM+128GB ROM),968,"华为（HUAWEI）nova2 Plus 手机 曜石黑 全网通(4GB RAM+128GB ROM),46840150170,1.0kg,128GB,其它存储卡,1200万像素,2000万像素,其他,3340,9V/2A,黑色,其他",100,95,"毫无卡顿,"
56834696696,荣耀20i 全面屏 华为手机 渐变蓝 全网通6GB+64GB,969,"华为（HUAWEI） 荣耀20i,56834696696,1.0kg,其他,6GB,其它存储,支持MicroSD(TF),后置三摄,2400万像素,3200万像素,后置三摄,6.21英寸,其它分辨率,19~19.5:9,水滴屏,3400mAh,5V/2A,蓝色,≥90%,Android(安卓),小于12 W",1800,96,"流畅至极,清晰度高,操作简便,声音洪亮,观感舒适,简洁大气,容量充足,"
